studio,domestic_gross,foreign_gross,total_gross
SPC,404000.0,4200000.0,4604000.0
SPC,4000000.0,280000.0,4280000.0
Magn.,237000.0,4000000.0,4237000.0
Osci.,236000.0,3800000.0,4036000.0
IFC,217000.0,3800000.0,4017000.0
IW,1000000.0,2800000.0,3800000.0
Gold.,3800000.0,45800.0,3845800.0
IFC,108000.0,3600000.0,3708000.0
Rog.,3200000.0,242000.0,3442000.0
Free,109000.0,3300000.0,3409000.0
,96900.0,3300000.0,3396900.0
Anch.,246000.0,2900000.0,3146000.0
Eros,1300000.0,1700000.0,3000000.0
Relbig.,1600000.0,1300000.0,2900000.0
Viv.,2800000.0,60300.0,2860300.0
Hann.,184000.0,2400000.0,2584000.0
UTV,1100000.0,1400000.0,2500000.0
IFC,375000.0,2000000.0,2375000.0
Eros,1200000.0,1200000.0,2400000.0
Eros,1100000.0,935000.0,2035000.0
Anch.,109000.0,1900000.0,2009000.0
IFC,1600000.0,391000.0,1991000.0
WB,1800000.0,0.0,1800000.0
UTV,1000000.0,695000.0,1695000.0
Magn.,550000.0,1100000.0,1650000.0
Eros,855000.0,761000.0,1616000.0
Strand,67500.0,1400000.0,1467500.0
NGE,1300000.0,105000.0,1405000.0
Relbig.,709000.0,648000.0,1357000.0
Scre.,493000.0,859000.0,1352000.0
UTV,,1300000.0,
Kino,622000.0,669000.0,1291000.0
Lorb.,37000.0,1200000.0,1237000.0
SPC,368000.0,830000.0,1198000.0
Osci.,617000.0,566000.0,1183000.0
Kino,23700.0,1200000.0,1223700.0
Abr.,246000.0,901000.0,1147000.0
CZ,915000.0,183000.0,1098000.0
ATO,1000000.0,40700.0,1040700.0
IFC,176000.0,893000.0,1069000.0
Eros,542000.0,499000.0,1041000.0
UTV,638000.0,393000.0,1031000.0
First,70100.0,949000.0,1019100.0
MBox,711000.0,216000.0,927000.0
NM,341000.0,555000.0,896000.0
IFC,81800.0,798000.0,879800.0
IFC,146000.0,726000.0,872000.0
Strand,34500.0,837000.0,871500.0
Anch.,167000.0,701000.0,868000.0
Relbig.,428000.0,389000.0,817000.0
Eros,527000.0,277000.0,804000.0
IFC,281000.0,487000.0,768000.0
IFC,336000.0,418000.0,754000.0
GK,677000.0,62700.0,739700.0
WB,673000.0,0.0,673000.0
Eros,285000.0,369000.0,654000.0
Magn.,582000.0,62500.0,644500.0
Over.,542000.0,77600.0,619600.0
FInd.,303000.0,305000.0,608000.0
NFC,139000.0,447000.0,586000.0
Anch.,93100.0,480000.0,573100.0
Magn.,409000.0,160000.0,569000.0
